Profile 1             
x       y           
[m]     [m]         
0  -6.8148872e-06            
2.6093961e-06  -6.5853107e-06            
5.2187922e-06  -6.3104306e-06            
7.8281884e-06  -5.9977927e-06            
1.0437584e-05  -5.6614094e-06            
1.3046981e-05  -5.3385698e-06            
1.5656377e-05  -5.0775434e-06            
1.8265773e-05  -4.9141412e-06            
2.0875169e-05  -4.9132191e-06            
2.3484565e-05  -5.0980666e-06            
2.6093961e-05  -5.3868365e-06            
2.8703357e-05  -5.7316877e-06            
3.1312753e-05  -6.0566905e-06            
3.392215e-05  -6.2847001e-06            
3.6531546e-05  -6.4177607e-06            
3.9140942e-05  -6.4663187e-06            
4.1750338e-05  -6.4415921e-06            
4.4359734e-05  -6.3562136e-06            
4.696913e-05  -6.2116455e-06            
4.9578526e-05  -5.9924812e-06            
5.2187922e-05  -5.685717e-06            
5.4797319e-05  -5.3211577e-06            
5.7406715e-05  -4.9647494e-06            
6.0016111e-05  -4.6332494e-06            
6.2625507e-05  -4.3529894e-06            
6.5234903e-05  -4.145259e-06            
6.7844299e-05  -4.0154859e-06            
7.0453695e-05  -3.9728306e-06            
7.3063091e-05  -4.040971e-06            
7.5672488e-05  -4.2313943e-06            
7.8281884e-05  -4.5196518e-06            
8.089128e-05  -4.8850664e-06            
8.3500676e-05  -5.2546625e-06            
8.6110072e-05  -5.5289052e-06            
8.8719468e-05  -5.665333e-06            
9.1328864e-05  -5.6377931e-06            
9.393826e-05  -5.4728378e-06            
9.6547656e-05  -5.2652383e-06            
9.9157053e-05  -5.0618972e-06            
0.00010176645  -4.8749444e-06            
0.00010437584  -4.6992521e-06            
0.00010698524  -4.5102092e-06            
0.00010959464  -4.292246e-06            
0.00011220403  -4.0353258e-06            
0.00011481343  -3.7659561e-06            
0.00011742283  -3.5433802e-06            
0.00012003222  -3.412456e-06            
0.00012264162  -3.4412356e-06            
0.00012525101  -3.6751878e-06            
0.00012786041  -4.065463e-06            
0.00013046981  -4.5813705e-06            
0.0001330792  -5.1879745e-06            
0.0001356886  -5.8052739e-06            
0.00013829799  -6.3425361e-06            
0.00014090739  -6.7470945e-06            
0.00014351679  -6.9143683e-06            
0.00014612618  -6.8178756e-06            
0.00014873558  -6.5950123e-06            
0.00015134498  -6.2934555e-06            
0.00015395437  -5.967932e-06            
0.00015656377  -5.6489579e-06            
0.00015917316  -5.3168772e-06            
0.00016178256  -4.9398008e-06            
0.00016439196  -4.5060909e-06            
0.00016700135  -4.0572184e-06            
0.00016961075  -3.6336307e-06            
0.00017222014  -3.2579291e-06            
0.00017482954  -2.9599974e-06            
0.00017743894  -2.751753e-06            
0.00018004833  -2.6400292e-06            
0.00018265773  -2.6438751e-06            
0.00018526712  -2.7631291e-06            
0.00018787652  -2.9620913e-06            
0.00019048592  -3.2205133e-06            
0.00019309531  -3.5239525e-06            
0.00019570471  -3.8426985e-06            
0.00019831411  -4.1489636e-06            
0.0002009235  -4.4365136e-06            
0.0002035329  -4.6922158e-06            
0.00020614229  -4.9021865e-06            
0.00020875169  -5.0646902e-06            
0.00021136109  -5.1738934e-06            
0.00021397048  -5.1992698e-06            
0.00021657988  -5.0978597e-06            
0.00021918927  -4.8591352e-06            
0.00022179867  -4.4893291e-06            
0.00022440807  -4.0078012e-06            
0.00022701746  -3.516216e-06            
0.00022962686  -3.1528711e-06            
0.00023223625  -2.9716689e-06            
0.00023484565  -3.0251445e-06            
0.00023745505  -3.2611572e-06            
0.00024006444  -3.5164828e-06            
0.00024267384  -3.7140031e-06            
0.00024528324  -3.7648714e-06            
0.00024789263  -3.668055e-06            
0.00025050203  -3.5397251e-06            
0.00025311142  -3.3994862e-06            
0.00025572082  -3.2639567e-06            
0.00025833022  -3.1320688e-06            
0.00026093961  -2.9999352e-06            
0.00026354901  -2.8643454e-06            
0.0002661584  -2.7227649e-06            
0.0002687678  -2.5758445e-06            
0.0002713772  -2.4190756e-06            
0.00027398659  -2.2296745e-06            
0.00027659599  -2.0042359e-06            
0.00027920538  -1.8004486e-06            
0.00028181478  -1.6901402e-06            
0.00028442418  -1.7080783e-06            
0.00028703357  -1.8938417e-06            
0.00028964297  -2.2442611e-06            
0.00029225237  -2.7271074e-06            
0.00029486176  -3.3103403e-06            
0.00029747116  -3.8821859e-06            
0.00030008055  -4.2815605e-06            
0.00030268995  -4.4301984e-06            
0.00030529935  -4.2625095e-06            
0.00030790874  -3.8009576e-06            
0.00031051814  -3.2359714e-06            
0.00031312753  -2.7234276e-06            
0.00031573693  -2.3945767e-06            
0.00031834633  -2.3343129e-06            
0.00032095572  -2.5123282e-06            
0.00032356512  -2.9390494e-06            
0.00032617452  -3.5420315e-06            
0.00032878391  -4.1451527e-06            
0.00033139331  -4.6213493e-06            
0.0003340027  -4.9351806e-06            
0.0003366121  -5.0416277e-06            
0.0003392215  -4.9482586e-06            
0.00034183089  -4.7498329e-06            
0.00034444029  -4.5002036e-06            
0.00034704968  -4.2708794e-06            
0.00034965908  -4.1169766e-06            
0.00035226848  -4.0084561e-06            
0.00035487787  -3.9154891e-06            
0.00035748727  -3.7915197e-06            
0.00036009666  -3.6042155e-06            
0.00036270606  -3.3706027e-06            
0.00036531546  -3.0880547e-06            
0.00036792485  -2.7504376e-06            
0.00037053425  -2.3660242e-06            
0.00037314365  -1.969496e-06            
0.00037575304  -1.5978789e-06            
0.00037836244  -1.2887144e-06            
0.00038097183  -1.0558604e-06            
0.00038358123  -9.2765149e-07            
0.00038619063  -9.8456148e-07            
0.00038880002  -1.2650552e-06            
0.00039140942  -1.6758723e-06            
0.00039401881  -2.1426396e-06            
0.00039662821  -2.5864161e-06            
0.00039923761  -2.8776366e-06            
0.000401847  -2.9372325e-06            
0.0004044564  -2.7949183e-06            
0.00040706579  -2.4614592e-06            
0.00040967519  -1.9958743e-06            
0.00041228459  -1.5170848e-06            
0.00041489398  -1.1133734e-06            
0.00041750338  -8.7499334e-07            
0.00042011278  -8.7347453e-07            
0.00042272217  -1.0642525e-06            
0.00042533157  -1.4025592e-06            
0.00042794096  -1.8585101e-06            
0.00043055036  -2.351439e-06            
0.00043315976  -2.7783593e-06            
0.00043576915  -3.0883121e-06            
0.00043837855  -3.2291885e-06            
0.00044098794  -3.2105309e-06            
0.00044359734  -3.1264463e-06            
0.00044620674  -3.0039887e-06            
0.00044881613  -2.854071e-06            
0.00045142553  -2.6698819e-06            
0.00045403493  -2.4372722e-06            
0.00045664432  -2.1561e-06            
0.00045925372  -1.8706027e-06            
0.00046186311  -1.6627384e-06            
0.00046447251  -1.552892e-06            
0.00046708191  -1.5810385e-06            
0.0004696913  -1.8281683e-06            
0.0004723007  -2.1844784e-06            
0.00047491009  -2.3437428e-06            
0.00047751949  -2.3442506e-06            
0.00048012889  -2.1858209e-06            
0.00048273828  -1.8618152e-06            
0.00048534768  -1.433011e-06            
