/ AppInfo,,,,,,,,
Application,APW-Link,,,,,,,
Version,2.8.0,,,,,,,
/ DeviceInfo,,,,,,,,
Type,WMF204C-L/IE,,,,,,,
Serial Number,C112378858,,,,,,,
Software version,2.0.0.20190506,,,,,,,
Type Definition Number,53.0.2.4233.1603,,,,,,,
/ RecordInfo,,,,,,,,
Start Time,2023-03-06 16:38:10.766,,,,,,,
Comments,(230306) 4_Powder_mass_flow_PML_Nb_0.1-0.5,,,,,,,
,,,,,,,,
/ RecordData,,,,,,,,
/ Time[s],Weight,Unit,Status,Date,Hour,Minutes,Seconds,Milliseconds
0,0,g,S,3/6/2023,16,38,10,766
0.011,0,g,S,3/6/2023,16,38,10,777
0.022,0,g,S,3/6/2023,16,38,10,788
0.033,0,g,S,3/6/2023,16,38,10,799
0.044,0,g,S,3/6/2023,16,38,10,810
0.054,0,g,S,3/6/2023,16,38,10,820
0.065,0,g,S,3/6/2023,16,38,10,831
0.076,0,g,S,3/6/2023,16,38,10,842
0.087,0,g,S,3/6/2023,16,38,10,853
0.098,0,g,S,3/6/2023,16,38,10,864
0.109,0,g,S,3/6/2023,16,38,10,875
0.12,0,g,S,3/6/2023,16,38,10,886
0.131,0,g,D,3/6/2023,16,38,10,896
0.142,0,g,S,3/6/2023,16,38,10,907
0.153,0,g,S,3/6/2023,16,38,10,918
0.164,0,g,D,3/6/2023,16,38,10,929
0.175,0,g,D,3/6/2023,16,38,10,940
0.186,0,g,D,3/6/2023,16,38,10,951
0.197,0,g,D,3/6/2023,16,38,10,962
0.208,0,g,D,3/6/2023,16,38,10,973
0.219,0,g,D,3/6/2023,16,38,10,984
0.229,0,g,D,3/6/2023,16,38,10,995
0.24,0,g,D,3/6/2023,16,38,11,6
0.251,0,g,D,3/6/2023,16,38,11,17
0.262,-0.0001,g,D,3/6/2023,16,38,11,28
0.272,-0.0001,g,D,3/6/2023,16,38,11,38
0.284,-0.0001,g,D,3/6/2023,16,38,11,50
0.294,-0.0001,g,D,3/6/2023,16,38,11,60
0.306,-0.0001,g,D,3/6/2023,16,38,11,72
0.316,-0.0001,g,D,3/6/2023,16,38,11,82
0.327,-0.0001,g,D,3/6/2023,16,38,11,93
0.338,-0.0001,g,D,3/6/2023,16,38,11,104
0.349,-0.0001,g,D,3/6/2023,16,38,11,115
0.36,-0.0001,g,D,3/6/2023,16,38,11,126
0.371,-0.0001,g,D,3/6/2023,16,38,11,137
0.382,-0.0001,g,D,3/6/2023,16,38,11,148
0.393,-0.0001,g,D,3/6/2023,16,38,11,159
0.404,-0.0001,g,D,3/6/2023,16,38,11,170
0.415,-0.0001,g,D,3/6/2023,16,38,11,181
0.426,-0.0001,g,D,3/6/2023,16,38,11,192
0.437,-0.0001,g,D,3/6/2023,16,38,11,203
0.448,-0.0001,g,D,3/6/2023,16,38,11,214
0.459,-0.0001,g,D,3/6/2023,16,38,11,225
0.47,-0.0001,g,D,3/6/2023,16,38,11,235
0.481,-0.0001,g,D,3/6/2023,16,38,11,246
