Time,Input,Height
0,0,0
0.000934982,0,0
0.001869964,0,0
0.002804946,0,0
0.003739928,0,0
0.00467491,0,0
0.005609891,0,0
0.006544873,0,0
0.007479855,0,0
0.008414837,0,0
0.009349819,0,0
0.010284801,0,0
0.011219783,0,0
0.012154765,0,0
0.013089747,0,0
0.01402473,0,0
0.014959711,0,0
0.015894692,0,0
0.016829675,0,0
0.017764657,0,0
0.018699638,0,0
0.019634621,0,0
0.020569602,0,0
0.021504584,0,0
0.022439567,0,0
0.023374548,0,0
0.02430953,0,0
0.025244512,0,0
0.026179494,0,0
0.027114475,0,0
0.028049458,0,0
0.02898444,0,0
0.029919421,0,0
0.030854404,0,0
0.031789385,0,0
0.032724367,0,0
0.03365935,0,0
0.034594331,0,0
0.035529314,0,0
0.036464295,0,0
0.037399277,0,0
0.03833426,0,0
0.039269241,0,0
0.040204222,0,0
0.041139205,0,0
0.042074187,0,0
0.043009168,0,0
0.043944151,0,0
0.044879132,0,0
0.045814114,0,0
0.046749097,0,0
0.047684078,0,0
0.04861906,0,0
0.049554042,0,0
0.050489024,0,0
0.051424005,0,0
0.052358988,0,0
0.053293969,0,0
0.054228951,0,0
0.055163934,0,0
0.056098915,0,0
0.057033897,0,0
0.05796888,0,0
0.058903861,0,0
0.059838844,0,0
0.060773825,0,0
0.061708807,0,0
0.06264379,0,0
0.063578771,0,0
0.064513752,0,0
0.065448735,0,0
0.066383717,0,0
0.067318698,0,0
0.068253681,0,0
0.069188662,0,0
0.070123644,0,0
0.071058627,0,0
0.071993608,0,0
0.07292859,0,0
0.073863572,0,0
0.074798554,0,0
0.075733535,0,0
0.076668518,0,0
0.0776035,0,0
0.078538481,0,0
0.079473464,0,0
0.080408445,0,0
0.081343427,0,0
0.08227841,0,0
0.083213391,0,0
0.084148374,0,0
0.085083355,0,0
0.086018337,0,0
0.08695332,0,0
0.087888301,0,0
0.088823282,0,0
0.089758265,0,0
0.090693247,0,0
0.091628228,0,0
0.092563211,0,0.002085074
0.093498192,0,0.00212833
0.094433174,0,0.002173068
0.095368157,0,0.002218565
0.096303138,0,0.002266155
0.09723812,0,0.002315011
0.098173102,0,0.002364474
0.099108084,0,0.002416569
0.100043065,0,0.002469205
0.100978048,0,0.002523286
0.10191303,0,0.002579679
0.102848011,0,0.002636122
0.103782994,0,0.002695241
0.104717975,0,0.002754807
0.105652957,0,0.002813513
0.10658794,0,0.002872687
0.107522921,0,0.002931626
0.108457904,0,0.002991023
0.109392885,0,0.003049543
0.110327867,0,0.003111161
0.11126285,0,0.003178885
0.112197831,0,0.003251627
0.113132812,0,0.003326897
0.114067795,0,0.003400831
0.115002777,0,0.003474973
0.115937758,0,0.003549796
0.116872741,0,0.003625452
0.117807722,0,0.003701095
0.118742704,0,0.003777431
0.119677687,0,0.003854968
0.120612668,0,0.003933559
0.12154765,0,0.004012101
0.122482632,0,0.004092089
0.123417614,0,0.004171622
0.124352595,0,0.004253018
0.125287578,0,0.00433456
0.12622256,0,0.004415687
0.127157541,0,0.00449866
0.128092524,0,0.004582364
0.129027505,0,0.00466598
0.129962488,0,0.004750235
0.13089747,0,0.004834396
0.131832451,0,0.004918541
0.132767434,0,0.005002596
0.133702415,0,0.005087865
0.134637397,0,0.005173664
0.135572379,0,0.005261273
0.136507361,0,0.00534948
0.137442342,0,0.00543785
0.138377325,0,0.005526932
0.139312307,0,0.005616558
0.140247288,0,0.005706889
0.141182271,0,0.005798266
0.142117247,0,0.00588983
0.143052232,0,0.005981696
0.143987218,0,0.006074539
0.144922204,0,0.006167426
0.145857175,0,0.006260292
0.146792161,0,0.006353146
0.147727147,0,0.006446882
0.148662132,0,0.006541519
0.149597104,0,0.006636234
0.15053209,0,0.006730972
0.151467075,0,0.006826451
0.152402047,0,0.00692229
0.153337032,0,0.007018899
0.154272018,0,0.007115945
0.155207004,0,0.007213561
0.156141975,0,0.0073136
0.157076961,0,0.007415322
0.158011947,0,0.007517792
0.158946932,0,0.007620408
0.159881904,0,0.007724926
0.160816889,0,0.007830361
0.161751875,0,0.007936811
0.162686861,0,0.008042324
0.163621832,0,0.008147979
0.164556818,0,0.008253175
0.165491804,0,0.008356581
0.16642679,0,0.008460295
0.167361761,0,0.008562503
0.168296747,0,0.008664537
0.169231732,0,0.008766428
0.170166704,0,0.008868336
