Time,Input,Height
0.09543176,0,0.207960908
0.09580454,0,0.209401954
0.09617732,0,0.210825177
0.0965501,0,0.212227331
0.096922881,0,0.213597752
0.097295661,0,0.214928336
0.097668441,0,0.216210158
0.098041221,0,0.217448792
0.098414001,0,0.218648467
0.098786783,0,0.219818005
0.099159563,0,0.220965356
0.099532343,0,0.22209732
0.099905123,0,0.223229993
0.100277903,0,0.224370513
0.100650684,0,0.225539741
0.101023464,0,0.226729347
0.101396244,0,0.227933255
0.101769024,0,0.229144636
0.102141805,0,0.2303581
0.102514585,0,0.23157371
0.102887365,0,0.232784631
0.103260145,0,0.23398768
0.103632925,0,0.235183108
0.104005707,0,0.236371573
0.104378487,0,0.237552951
0.104751267,0,0.238727185
0.105124047,0,0.239895294
0.105496827,0,0.24106179
0.105869608,0,0.242232388
0.106242388,0,0.24341275
0.106615168,0,0.244604377
0.106987948,0,0.245804371
0.10736073,0,0.247009841
0.10773351,0,0.248218164
0.10810629,0,0.249427195
0.10847907,0,0.25063376
0.10885185,0,0.251831778
0.109224631,0,0.25301469
0.109597411,0,0.254175945
0.109970191,0,0.255315809
0.110342971,0,0.256436905
0.110715753,0,0.257543123
0.111088533,0,0.258646312
0.111461313,0,0.259763931
0.111834093,0,0.260892282
0.112206873,0,0.262027235
0.112579654,0,0.26317068
0.112952434,0,0.264322497
0.113325214,0,0.26548434
0.113697994,0,0.266647321
0.114070774,0,0.267810376
0.114443555,0,0.268976512
0.114816335,0,0.270147908
0.115189115,0,0.271317552
0.115561895,0,0.272477854
0.115934677,0,0.273622623
0.116307457,0,0.274756074
0.116680237,0,0.275884649
0.117053017,0,0.277011816
0.117425797,0,0.27813303
0.117798578,0,0.279251059
0.118171358,0,0.280361665
0.118544138,0,0.28146519
0.118916918,0,0.282557617
0.119289698,0,0.283639302
0.11966248,0,0.28471736
0.12003526,0,0.285793879
0.12040804,0,0.286870122
0.12078082,0,0.287944748
0.121153601,0,0.289015695
0.121526381,0,0.290062197
0.121899161,0,0.291056042
0.122271941,0,0.291981637
0.122644721,0,0.292836702
0.123017503,0,0.293638935
0.123390283,0,0.294410038
0.123763063,0,0.295173615
0.124135843,0,0.295943192
0.124508624,0,0.296715666
0.124881404,0,0.297492518
0.125254184,0,0.298269966
0.125626964,0,0.299052893
0.125999744,0,0.299839988
0.126372525,0,0.30063597
0.126745305,0,0.301441063
0.127118085,0,0.302253955
0.127490865,0,0.303076087
0.127863645,0,0.303904253
0.128236427,0,0.304741683
0.128609207,0,0.305587214
0.128981987,0,0.306429045
0.129354767,0,0.307278305
0.129727548,0,0.308135325
0.130100328,0,0.308989074
0.130473108,0,0.309840571
0.130845888,0,0.310700498
0.131218668,0,0.311571331
0.13159145,0,0.312442544
0.13196423,0,0.313319576
0.13233701,0,0.314206518
0.13270979,0,0.31509489
0.133082571,0,0.315988551
0.133455351,0,0.31688961
0.133828131,0,0.317796767
0.134200911,0,0.318714861
0.134573691,0,0.319643787
0.134946473,0,0.320583961
0.135319253,0,0.32152762
0.135692033,0,0.322475674
0.136064813,0,0.32342546
0.136437593,0,0.32437476
0.136810374,0,0.32532576
0.137183154,0,0.326278165
0.137555934,0,0.327226198
0.137928714,0,0.328149105
0.138301495,0,0.329055814
0.138674275,0,0.329954867
0.139047055,0,0.330854173
0.139419835,0,0.331757594
0.139792615,0,0.332666401
0.140165397,0,0.333581454
0.140538177,0,0.334502809
0.140910957,0,0.335430452
0.141283737,0,0.336364329
0.141656517,0,0.337304896
0.142029298,0,0.338253585
