RPM,(230123) Powder Flow Measurement_IN718_5LPM,(230123) Powder Flow Measurement_SS316L_5LPM
0.5,2.5047539571672166,3.897228848635595
1.0,9.195159525681943,9.436802422977763
1.5,14.166320818376567,14.824353989637423
2.0,20.671835337931714,21.56672901535613
3.0,35.9755410561412,33.6730541496993
