Time,Mass
0.1419999999999999,0.0676000000000001
0.15300000000000002,0.30310000000000015
0.1639999999999997,0.3304
0.17399999999999993,0.3552000000000004
0.18599999999999994,0.3774000000000002
0.19599999999999973,0.3983000000000003
0.20799999999999974,0.4197000000000002
0.21799999999999997,0.44120000000000026
0.22899999999999965,0.4623000000000004
0.23999999999999977,0.48270000000000035
0.2509999999999999,0.5039000000000002
0.262,0.5257000000000001
0.2729999999999997,0.5478000000000001
0.2839999999999998,0.5700000000000003
0.29499999999999993,0.5920000000000001
0.30600000000000005,0.6132
0.3169999999999997,0.6334000000000004
0.32799999999999985,0.6522000000000001
0.33899999999999997,0.6703000000000001
0.34999999999999964,0.6879000000000004
0.36099999999999977,0.7049000000000003
0.3719999999999999,0.7215000000000003
0.383,0.7381000000000002
0.3929999999999998,0.7550000000000003
0.4039999999999999,0.7725
0.4139999999999997,0.8762000000000003
0.4259999999999997,0.9280000000000004
0.43599999999999994,0.9915000000000003
0.44700000000000006,1.1341
0.45799999999999974,1.1415000000000002
0.46899999999999986,1.1449000000000003
0.48,1.1467
0.4910000000000001,1.1545
0.5020000000000002,1.1755
0.5129999999999995,1.2036000000000002
0.5239999999999996,1.2280000000000002
0.5349999999999997,1.2454
0.5459999999999998,1.2574
0.5569999999999999,1.2648000000000001
0.5680000000000001,1.2677
0.5790000000000002,1.2677
0.5899999999999994,1.2677
0.6009999999999995,1.2680000000000002
0.6119999999999997,1.2703000000000002
0.6229999999999998,1.2753
0.6329999999999996,1.2837
0.645,1.294
0.6549999999999998,1.3053000000000003
0.6670000000000003,1.3171000000000004
0.677,1.3292000000000006
0.6880000000000002,1.3409999999999997
0.6990000000000003,1.3522000000000003
0.7099999999999995,1.3629000000000002
0.7209999999999996,1.3743000000000003
0.7319999999999998,1.3866
0.7429999999999999,1.3992999999999998
0.754,1.4118
0.7639999999999998,1.4235000000000002
0.7749999999999999,1.4529999999999998
0.786,1.5233000000000003
0.7970000000000002,1.5372
0.8080000000000003,1.5661
0.8189999999999995,1.5852
0.8299999999999996,1.5927000000000002
0.8409999999999997,1.5985999999999998
0.8519999999999999,1.6058
0.863,1.6111999999999997
0.8729999999999998,1.6143000000000005
0.8850000000000002,1.6190000000000002
0.895,1.6266000000000003
0.9060000000000001,1.6360000000000006
0.9170000000000003,1.6452000000000004
0.9279999999999995,1.6529000000000003
0.9389999999999996,1.6595
0.9499999999999997,1.6665000000000005
0.9609999999999999,1.6741000000000006
0.972,1.6808999999999998
0.9830000000000001,1.6858
0.9940000000000002,1.6891000000000003
1.0049999999999994,1.6917000000000004
1.0159999999999996,1.6948000000000003
1.0269999999999997,1.6989000000000005
1.0379999999999998,1.7045
1.049,1.7115000000000005
1.06,1.7200000000000002
1.0710000000000002,1.7291000000000003
1.0820000000000003,1.7380999999999998
1.092,1.7460999999999998
1.1030000000000002,1.7525
1.1139999999999994,1.7573000000000003
1.126,1.7611000000000003
1.1350000000000002,1.8024
1.1459999999999995,1.8141000000000003
1.1569999999999996,1.8244000000000002
1.1679999999999997,1.8335000000000004
1.1789999999999998,1.8417
1.19,1.8479000000000005
1.201,1.8513000000000006
1.2120000000000002,1.8526000000000002
1.2229999999999994,1.8532000000000006
1.2339999999999995,1.8536000000000006
1.2449999999999997,1.8540000000000005
1.2559999999999998,1.8546999999999998
1.267,1.8557000000000001
1.278,1.8569999999999998
1.2890000000000001,1.8586000000000005
1.3000000000000003,1.8602000000000003
1.3109999999999995,1.8621000000000003
1.3219999999999996,1.8641999999999999
1.3320000000000003,1.8668999999999998
1.3439999999999999,1.8706999999999998
1.3539999999999996,1.8755000000000002
1.3649999999999998,1.8813
1.376,1.9205
1.387,1.9487
1.3980000000000001,1.9688000000000003
1.4090000000000003,1.9845000000000002
1.4199999999999995,1.9931000000000005
1.4309999999999996,1.9952999999999999
1.4419999999999997,1.9952999999999999
1.4529999999999998,1.9952999999999999
1.464,1.9952999999999999
1.475,1.9952999999999999
1.4860000000000002,1.9952999999999999
1.4969999999999994,1.9952999999999999
1.5070000000000001,1.9952999999999999
1.5180000000000002,1.9952999999999999
1.5289999999999995,1.9951000000000003
1.5399999999999996,1.9951000000000003
1.5500000000000003,1.9951000000000003
1.5619999999999998,1.9951000000000003
1.5719999999999996,1.9964
1.5829999999999997,1.9978000000000002
1.5939999999999999,1.999
1.605,1.9998
1.616,2.0001
1.6270000000000002,2.0001
1.6379999999999995,2.0001
1.6489999999999996,2.0001
1.6599999999999997,2.0001
1.6709999999999998,2.0001
1.682,2.0013
1.693,2.0033
1.7040000000000002,2.0059
1.7149999999999994,2.0105
1.7259999999999995,2.0158
1.7369999999999997,2.0213000000000005
1.7479999999999998,2.0269
1.759,2.0324000000000004
1.7689999999999997,2.0377000000000005
1.7810000000000001,2.0428
1.791,2.0478
1.8029999999999995,2.0527
1.8130000000000002,2.0574
1.8240000000000003,2.0619
1.8349999999999995,2.0661
1.8459999999999996,2.0698000000000003
1.8569999999999998,2.0731000000000006
1.8679999999999999,2.076
1.879,2.0943
1.8889999999999998,2.1026000000000002
1.9,2.1053
1.911,2.1078000000000006
1.9220000000000002,2.1099
1.9330000000000003,2.1113000000000004
1.9439999999999995,2.1122
1.9549999999999996,2.1129000000000002
1.9659999999999997,2.1135000000000006
1.9769999999999999,2.1140000000000003
1.988,2.1145
1.999,2.1153
2.009,2.1166000000000005
2.0209999999999995,2.1184
2.031,2.1217
2.0420000000000003,2.1256
2.0529999999999995,2.1295000000000006
2.0639999999999996,2.1334000000000004
2.0749999999999997,2.1374
2.086,2.1415
